er,fr
Let's try something.,Tentons quelque chose !
I have to go to sleep.,Je dois aller dormir.
Today is June 18th and it is Muiriel's birthday!,Aujourd'hui nous sommes le 18 juin et c'est l'anniversaire de Muiriel !
Today is June 18th and it is Muiriel's birthday!,"Aujourd'hui c'est le 18 juin, et c'est l'anniversaire de Muiriel."
Muiriel is 20 now.,Muiriel a 20 ans maintenant.
"The password is ""Muiriel"".",Le mot de passe est « Muiriel ».
I will be back soon.,Je serai bientôt de retour.
I will be back soon.,Je serai de retour dans une minute.
I will be back soon.,Je reviens tout de suite.
I will be back soon.,Je reviens vite.
I will be back soon.,Je reviens de suite.
I'm at a loss for words.,J'en perds mes mots.
I'm at a loss for words.,Les mots me manquent.
I'm at a loss for words.,Je ne trouve pas les mots.
This is never going to end.,Ça ne va jamais finir.
This is never going to end.,Ça n'en finira jamais.
I just don't know what to say.,Je ne sais simplement pas quoi dire...
I just don't know what to say.,"Je ne sais pas quoi dire, tout simplement."
That was an evil bunny.,C’était un méchant lapin.
I was in the mountains.,J'étais dans les montagnes.
Is it a recent picture?,Est-ce que c'est une photo récente ?
Is it a recent picture?,Est-ce une photo récente ?
I don't know if I have the time.,Je ne sais pas si j'ai le temps.
Education in this world disappoints me.,L'éducation dans ce monde me déçoit.
You're in better shape than I am.,Tu es en meilleure forme que moi.
You are in my way.,Tu es sur mon chemin.
You are in my way.,Vous êtes sur mon chemin.
This will cost €30.,Ça coûtera 30 €.
I make €100 a day.,Je gagne 100 € par jour.
I may give up soon and just nap instead.,Il se peut que j'abandonne bientôt et fasse une sieste à la place.
It's because you don't want to be alone.,C'est parce que tu ne veux pas être seul.
It's because you don't want to be alone.,C'est parce que vous ne voulez pas être seul.
It's because you don't want to be alone.,C'est parce que vous ne voulez pas être seule.
It's because you don't want to be alone.,C'est parce que tu ne veux pas être seule.
It's because you don't want to be alone.,C'est parce que vous ne voulez pas être seuls.
It's because you don't want to be alone.,C'est parce que vous ne voulez pas être seules.
That won't happen.,Ça n'arrivera pas.
Sometimes he can be a strange guy.,Parfois il peut être un gars bizarre.
I'll do my best not to disturb your studying.,Je ferai de mon mieux pour ne pas perturber tes révisions.
I can only wonder if this is the same for everyone else.,Je ne peux que me demander si c'est la même chose pour tous les autres.
I suppose it's different when you think about it over the long term.,Je suppose que c'est différent quand tu y penses à long terme.
I suppose it's different when you think about it over the long term.,Je suppose que c'est différent quand vous y pensez à long terme.
I miss you.,Tu me manques.
I miss you.,Vous me manquez.
I'll call them tomorrow when I come back.,Je les appellerai demain quand je reviendrai.
I always liked mysterious characters more.,J'ai toujours plus apprécié les personnages mystérieux.
I always liked mysterious characters more.,J’ai toujours préféré les personnages mystérieux.
You should sleep.,Tu devrais dormir.
I'm going to go.,Je vais y aller.
I told them to send me another ticket.,Je leur ai dit de m'envoyer un autre ticket.
You're so impatient with me.,Tu es tellement impatiente avec moi.
I can't live that kind of life.,Je ne peux pas vivre comme ça.
I once wanted to be an astrophysicist.,Il fut un temps où je voulais être astrophysicien.
I never liked biology.,Je n'ai jamais aimé la biologie.
The last person I told my idea to thought I was nuts.,La dernière personne à qui j'ai raconté mon idée a pensé que j'étais cinglé.
"If the world weren't in the shape it is now, I could trust anyone.","Si le monde n'était pas dans l'état où il est maintenant, je pourrais faire confiance à n'importe qui."
It is unfortunately true.,C'est malheureusement vrai.
They are too busy fighting against each other to care for common ideals.,Ils sont trop occupés à se battre entre eux pour s'occuper d'idéaux communs.
Most people think I'm crazy.,La plupart des gens pensent que je suis fou.
No I'm not; you are!,"Non je ne le suis pas, c'est toi qui l'es !"
No I'm not; you are!,"Non, ce n'est pas moi, c'est toi !"
That's MY line!,C'est ma réplique !
He's kicking me!,Il me donne des coups de pied !
Are you sure?,Est-ce que tu es sûr ?
Are you sure?,Es-tu sûr ?
Are you sure?,Es-tu sûre ?
Are you sure?,Êtes-vous sûr ?
Are you sure?,Êtes-vous sûre ?
Are you sure?,Êtes-vous sûres ?
Are you sure?,Êtes-vous sûrs ?
Are you sure?,Êtes-vous sûr ?
Are you sure?,Es-tu sûr ?
Are you sure?,Êtes-vous sûrs ?
Are you sure?,Êtes-vous sûres ?
Then there is a problem...,Alors il y a un problème...
"Oh, there's a butterfly!","Oh, il y a un papillon !"
Hurry up.,Dépêche-toi !
Hurry up.,Dépêche-toi.
Hurry up.,Grouille !
Hurry up.,Vite !
Hurry up.,Pressez-vous !
It doesn't surprise me.,Ça ne me surprend pas.
It doesn't surprise me.,Cela ne me surprend pas.
For some reason I feel more alive at night.,"Pour une raison que j'ignore, je me sens plus vivant la nuit."
It depends on the context.,Ça dépend du contexte.
Are you freaking kidding me?!,Est-ce que tu te fous de moi ? !
That's the stupidest thing I've ever said.,C'est la chose la plus stupide que j'ai jamais dite.
I don't want to be lame; I want to be cool!!,"Je ne veux pas être lamentable, je veux être cool ! !"
"When I grow up, I want to be a king.","Quand je serai grand, je veux être roi."
"When I grow up, I want to be a king.","Lorsque je serai grand, je veux être roi."
"America is a lovely place to be, if you are here to earn money.","L'Amérique est un endroit charmant pour vivre, si c'est pour gagner de l'argent."
I'm so fat.,Je suis si gros.
So what?,Et alors ?
So what?,"Eh bien, quoi ?"
So what?,Et donc ?
I'm gonna shoot him.,Je vais le descendre.
"I'm not a real fish, I'm just a mere plushy.","Je ne suis pas un vrai poisson, je ne suis qu'une simple peluche."
I'm just saying!,Je ne fais que parler !
That was probably what influenced their decision.,C'était probablement ce qui a influencé leur décision.
I've always wondered what it'd be like to have siblings.,Je me suis toujours demandé ce que ça ferait d'avoir des frères et sœurs.
This is what I would have said.,C'est ce que j'aurais dit.
It would take forever for me to explain everything.,Ça me prendrait l'éternité pour tout expliquer.
That's because you're a girl.,C'est parce que tu es une fille.
Sometimes I can't help showing emotions.,Parfois je ne peux pas m'empêcher de montrer des émotions.
It's a word I'd like to find a substitute for.,C'est un mot pour lequel j'aimerais trouver un substitut.
It would be something I'd have to program.,Ce serait quelque chose qu'il faudrait que je programme.
I don't intend to be selfish.,Il n'est pas dans mon intention d'être égoïste.
Let's consider the worst that could happen.,Réfléchissons au pire qui pourrait arriver.
How many close friends do you have?,Combien d'amis proches est-ce que tu as ?
How many close friends do you have?,Combien d'amis proches avez-vous ?
"I may be antisocial, but it doesn't mean I don't talk to people.","Il se peut que je sois antisocial, mais ça ne veut pas dire pas que je ne parle pas aux gens."
This is always the way it has been.,C'est toujours tel que ça a été.
This is always the way it has been.,Il en a toujours été ainsi.
I think it is best not to be impolite.,Je pense que c'est mieux de ne pas être impoli.
One can always find time.,On peut toujours trouver du temps.
"I'd be unhappy, but I wouldn't kill myself.","Je serais malheureux, mais je ne me suiciderais pas."
"Back in high school, I got up at 6 a.m. every morning.",À l'époque du lycée je me levais à 6h tous les matins.
"When I woke up, I was sad.",Quand je me suis réveillé j'étais triste.
I thought you liked to learn new things.,Je pensais que tu aimais apprendre de nouvelles choses.
Most people write about their daily life.,La plupart des gens écrivent à propos de leur vie quotidienne.
"If I could send you a marshmallow, Trang, I would.","Si je pouvais t'envoyer un marshmallow, Trang, je le ferais."
"If I could send you a marshmallow, Trang, I would.","Si je pouvais t'envoyer une guimauve, Trang, je le ferais."
"In order to do that, you have to take risks.","Pour faire cela, il te faut prendre des risques."
Every person who is alone is alone because they are afraid of others.,Chaque personne qui est seule est seule parce qu'elle a peur des autres.
Why do you ask?,Pourquoi demandes-tu ?
"I am a flawed person, but these are flaws that can easily be fixed.","Je suis une personne qui a des défauts, mais ces défauts peuvent être facilement corrigés."
"Whenever I find something I like, it's too expensive.","Chaque fois que je trouve quelque chose que j'aime, c'est trop cher."
How long did you stay?,Combien de temps es-tu restée ?
How long did you stay?,Combien de temps es-tu resté ?
How long did you stay?,Combien de temps êtes-vous restée ?
How long did you stay?,Combien de temps êtes-vous resté ?
How long did you stay?,Combien de temps êtes-vous restées ?
How long did you stay?,Combien de temps êtes-vous restés ?
How long did you stay?,Combien de temps y as-tu séjourné ?
How long did you stay?,Combien de temps y avez-vous séjourné ?
Maybe it will be exactly the same for him.,Peut-être que ce sera la même chose pour lui.
Innocence is a beautiful thing.,L'innocence est une belle chose.
Humans were never meant to live forever.,Les humains n'ont jamais été faits pour vivre éternellement.
